"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","res_keyCode","res_corr","trialNum"
"3125","32","text","0","3127","0.0-0.0-0.0","","","","","",""
"1847","","instructions","1","4974","0.0-1.0","[{""page_index"":0,""viewing_time"":1847}]","","","","",""
"5236","","survey-multi-choice","2","10227","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","",""
"","","bio","3","15160","0.0-3.0","","{""age"":""25"",""gender"":""f"",""specify"":""""}","","","",""
"5315","","approach-retreat","4","21984","0.0-4.0","","","1-2","39","1","1"
"4667","","approach-retreat","5","28160","0.0-5.0","","","1-2","40","1","2"
"4500","","approach-retreat","6","34165","0.0-6.0","","","1-2","39","1","3"
"5858","","instructions","7","40023","0.0-7.0","[{""page_index"":0,""viewing_time"":5858}]","","","","",""
"5467","","approach-retreat","8","46996","0.0-8.0","","","1-2","40","0","1"
"5030","","approach-retreat","9","53533","0.0-9.0","","","1-2","39","1","2"
"4288","","approach-retreat","10","59323","0.0-10.0","","","1-2","40","1","3"
"14099","","survey-text","11","73425","0.0-11.0","","{""Q0"":""PS150045""}","","","",""
