"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","res_keyCode","res_corr","trialNum"
"1298","32","text","0","1302","0.0-0.0-0.0","","","","","",""
"1011","","instructions","1","2314","0.0-1.0","[{""page_index"":0,""viewing_time"":1011}]","","","","",""
"4990","","survey-multi-choice","2","7322","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","",""
"","","bio","3","10510","0.0-3.0","","{""age"":""45"",""gender"":""f"",""specify"":""""}","","","",""
"5939","","approach-retreat","4","17959","0.0-4.0","","","3-4","37","0","1"
"5784","","approach-retreat","5","25249","0.0-5.0","","","3-4","37","1","2"
"4102","","approach-retreat","6","30857","0.0-6.0","","","3-4","40","1","3"
"1282","","instructions","7","32139","0.0-7.0","[{""page_index"":0,""viewing_time"":1281}]","","","","",""
"25700","","approach-retreat","8","59347","0.0-8.0","","","3-4","39","0","1"
"4452","","approach-retreat","9","65308","0.0-9.0","","","3-4","40","1","2"
"4201","","approach-retreat","10","71014","0.0-10.0","","","3-4","37","1","3"
"2403","","survey-text","11","73420","0.0-11.0","","{""Q0"":""""}","","","",""
