"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses"
"4849","32","text","0","4852","0.0-0.0-0.0","",""
"951","","instructions","1","5803","0.0-1.0","[{""page_index"":0,""viewing_time"":950}]",""
"73877","","survey-multi-choice","2","79699","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}"
"","","bio","3","81696","0.0-3.0","","{""age"":"""",""specify"":""""}"
"1643","","instructions","4","83339","0.0-4.0","[{""page_index"":0,""viewing_time"":1643}]",""
"2237","","survey-text","5","85579","0.0-5.0","","{""Q0"":""""}"
