"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses"
"2270","32","text","0","2275","0.0-0.0-0.0","",""
"1169","","instructions","1","3448","0.0-1.0","[{""page_index"":0,""viewing_time"":1168}]",""
"13635","","survey-multi-choice","2","17126","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}"
"","","bio","3","23766","0.0-3.0","","{""age"":""21"",""gender"":""f"",""specify"":""""}"
"1670","","instructions","4","25436","0.0-4.0","[{""page_index"":0,""viewing_time"":1669}]",""
"5770","","survey-text","5","31213","0.0-5.0","","{""Q0"":""""}"
