"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses"
"2424","32","text","0","2427","0.0-0.0-0.0","",""
"462","","instructions","1","2891","0.0-1.0","[{""page_index"":0,""viewing_time"":460}]",""
"12901","","survey-multi-choice","2","15833","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}"
"","","bio","3","27743","0.0-3.0","","{""age"":""20"",""gender"":""f"",""specify"":""""}"
"4442","","instructions","4","32186","0.0-4.0","[{""page_index"":0,""viewing_time"":4441}]",""
"78363","","survey-text","5","110559","0.0-5.0","","{""Q0"":""1089""}"
