"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses"
"152702","32","text","0","152708","0.0-0.0-0.0","",""
"162468","","instructions","1","315178","0.0-1.0","[{""page_index"":0,""viewing_time"":162462}]",""
"56904","","survey-multi-choice","2","372172","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}"
"","","bio","3","384100","0.0-3.0","","{""age"":""18"",""gender"":""f"",""specify"":""""}"
"15536","","instructions","4","399636","0.0-4.0","[{""page_index"":0,""viewing_time"":15534}]",""
"1013450","","survey-text","5","1413100","0.0-5.0","","{""Q0"":""10062018""}"
