"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses"
"37465","32","text","0","37468","0.0-0.0-0.0","",""
"11709","","instructions","1","49180","0.0-1.0","[{""page_index"":0,""viewing_time"":11708}]",""
"20321","","survey-multi-choice","2","69544","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}"
"","","bio","3","78798","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}"
"15411","","instructions","4","94211","0.0-4.0","[{""page_index"":0,""viewing_time"":15411}]",""
"77653","","survey-text","5","171872","0.0-5.0","","{""Q0"":""1005\n1005/2018\n""}"
