"","SeedNum","SubType","Shape","Curviness","Original","NewName"
"1","57","1","J","0","57-0","57-J-0-1"
"2","27","1","J","0","27-0","27-J-0-1"
"3","71","1","J","0","71-0","71-J-0-1"
"4","86","1","J","0","86-0","86-J-0-1"
"5","93","1","J","0","93-0","93-J-0-1"
"6","57","1","C","30","57-30","57-C-30-1"
"7","27","1","C","30","27-30","27-C-30-1"
"8","71","1","C","30","71-30","71-C-30-1"
"9","86","1","C","30","86-30","86-C-30-1"
"10","93","1","C","30","93-30","93-C-30-1"
"11","84","2","J","0","84-0","84-J-0-2"
"12","118","2","J","0","118-0","118-J-0-2"
"13","94","2","J","0","94-0","94-J-0-2"
"14","85","2","J","0","85-0","85-J-0-2"
"15","139","2","J","0","139-0","139-J-0-2"
"16","84","2","C","20","84-20","84-C-20-2"
"17","118","2","C","20","118-20","118-C-20-2"
"18","94","2","C","20","94-20","94-C-20-2"
"19","85","2","C","20","85-20","85-C-20-2"
"20","139","2","C","20","139-20","139-C-20-2"
"21","111","3","J","10","111-10","111-J-10-3"
"22","44","3","J","10","44-10","44-J-10-3"
"23","144","3","J","10","144-10","144-J-10-3"
"24","128","3","J","10","128-10","128-J-10-3"
"25","100","3","J","10","100-10","100-J-10-3"
"26","111","3","C","30","111-30","111-C-30-3"
"27","44","3","C","30","44-30","44-C-30-3"
"28","144","3","C","30","144-30","144-C-30-3"
"29","128","3","C","30","128-30","128-C-30-3"
"30","100","3","C","30","100-30","100-C-30-3"
"31","7","4","J","10","7-10","7-J-10-4"
"32","87","4","J","10","87-10","87-J-10-4"
"33","19","4","J","10","19-10","19-J-10-4"
"34","74","4","J","10","74-10","74-J-10-4"
"35","102","4","J","10","102-10","102-J-10-4"
"36","7","4","C","20","7-20","7-C-20-4"
"37","87","4","C","20","87-20","87-C-20-4"
"38","19","4","C","20","19-20","19-C-20-4"
"39","74","4","C","20","74-20","74-C-20-4"
"40","102","4","C","20","102-20","102-C-20-4"
